run_id,kernel,load_type,pred_class,latency_ms,timestamp_us
50,vanilla,memory,1,2.585,1783580781747930
51,vanilla,memory,0,4.216,1783580781752579
52,vanilla,memory,2,4.859,1783580781757876
53,vanilla,memory,7,4.734,1783580781763038
54,vanilla,memory,0,4.582,1783580781768089
55,vanilla,memory,3,4.516,1783580781773101
56,vanilla,memory,0,3.791,1783580781777395
57,vanilla,memory,4,2.701,1783580781780566
58,vanilla,memory,4,4.969,1783580781785997
59,vanilla,memory,7,4.829,1783580781791286
60,vanilla,memory,0,4.880,1783580781796617
61,vanilla,memory,6,4.455,1783580781801531
62,vanilla,memory,3,2.703,1783580781804690
63,vanilla,memory,0,5.014,1783580781810167
64,vanilla,memory,1,4.841,1783580781815473
65,vanilla,memory,6,4.742,1783580781820697
66,vanilla,memory,2,3.777,1783580781824933
67,vanilla,memory,3,4.749,1783580781830281
68,vanilla,memory,3,3.552,1783580781834293
69,vanilla,memory,1,2.978,1783580781837742
70,vanilla,memory,4,4.877,1783580781843063
71,vanilla,memory,5,4.833,1783580781848357
72,vanilla,memory,3,4.812,1783580781853654
73,vanilla,memory,0,4.199,1783580781858300
74,vanilla,memory,0,4.305,1783580781863073
75,vanilla,memory,3,3.885,1783580781867434
76,vanilla,memory,1,3.612,1783580781871509
77,vanilla,memory,3,4.026,1783580781876020
78,vanilla,memory,0,4.912,1783580781881398
79,vanilla,memory,1,4.878,1783580781886757
80,vanilla,memory,0,3.341,1783580781890566
81,vanilla,memory,5,4.869,1783580781895895
82,vanilla,memory,4,3.558,1783580781899904
83,vanilla,memory,0,4.333,1783580781904685
84,vanilla,memory,6,4.874,1783580781910029
85,vanilla,memory,7,3.530,1783580781914008
86,vanilla,memory,0,2.685,1783580781917288
87,vanilla,memory,6,4.912,1783580781922665
88,vanilla,memory,0,4.868,1783580781927989
89,vanilla,memory,1,4.859,1783580781933317
90,vanilla,memory,5,3.451,1783580781937368
91,vanilla,memory,6,4.812,1783580781942635
92,vanilla,memory,7,3.144,1783580781946235
93,vanilla,memory,2,2.985,1783580781949710
94,vanilla,memory,6,4.902,1783580781955053
95,vanilla,memory,1,4.879,1783580781960409
96,vanilla,memory,4,4.867,1783580781965748
97,vanilla,memory,4,4.151,1783580781970350
98,vanilla,memory,4,3.728,1783580781974558
99,vanilla,memory,4,3.058,1783580781978181
0,vanilla,io,7,7517.857,1783580819117669
1,vanilla,io,5,11.408,1783580819129979
2,vanilla,io,3,2.685,1783580819133208
3,vanilla,io,0,8.601,1783580819142263
4,vanilla,io,1,3.027,1783580819145794
5,vanilla,io,5,5.725,1783580819152026
6,vanilla,io,3,7.342,1783580819159793
7,vanilla,io,7,5.840,1783580819166034
8,vanilla,io,0,1.757,1783580819168188
9,vanilla,io,6,7.378,1783580819175963
10,vanilla,io,3,9.672,1783580819186036
11,vanilla,io,0,1.941,1783580819188458
12,vanilla,io,2,3.449,1783580819192446
13,vanilla,io,7,6.987,1783580819199849
14,vanilla,io,6,6.573,1783580819206845
15,vanilla,io,1,6.400,1783580819213732
16,vanilla,io,5,3.634,1783580819217843
17,vanilla,io,2,8.376,1783580819226713
18,vanilla,io,7,2.339,1783580819229571
19,vanilla,io,3,8.266,1783580819238274
20,vanilla,io,2,1.957,1783580819240632
21,vanilla,io,4,8.414,1783580819249534
22,vanilla,io,7,3.091,1783580819253247
23,vanilla,io,0,5.708,1783580819259420
24,vanilla,io,4,6.635,1783580819266491
25,vanilla,io,4,1.993,1783580819268927
26,vanilla,io,0,2.234,1783580819275860
27,vanilla,io,4,7.620,1783580819283935
28,vanilla,io,3,9.020,1783580819293447
29,vanilla,io,3,2.058,1783580819295930
30,vanilla,io,2,2.940,1783580819299325
31,vanilla,io,2,6.434,1783580819306256
32,vanilla,io,0,4.522,1783580819311201
33,vanilla,io,5,3.772,1783580819315448
34,vanilla,io,1,3.508,1783580819319432
35,vanilla,io,6,4.607,1783580819324508
36,vanilla,io,3,2.091,1783580819327034
37,vanilla,io,1,2.076,1783580819329546
38,vanilla,io,0,4.445,1783580819334473
39,vanilla,io,1,4.484,1783580819339420
40,vanilla,io,3,4.300,1783580819344174
41,vanilla,io,4,2.837,1783580819347497
42,vanilla,io,7,2.756,1783580819350712
43,vanilla,io,2,4.626,1783580819355776
44,vanilla,io,2,4.509,1783580819360713
45,vanilla,io,0,4.726,1783580819365851
46,vanilla,io,1,2.313,1783580819368556
47,vanilla,io,7,4.370,1783580819373355
48,vanilla,io,3,4.057,1783580819377858
49,vanilla,io,5,2.755,1783580819381193
50,vanilla,io,5,4.415,1783580819386072
51,vanilla,io,2,4.498,1783580819390980
52,vanilla,io,0,3.550,1783580819394955
53,vanilla,io,2,3.806,1783580819399246
54,vanilla,io,6,4.359,1783580819404035
55,vanilla,io,6,3.608,1783580819408066
56,vanilla,io,7,3.675,1783580819412181
57,vanilla,io,4,3.669,1783580819416293
58,vanilla,io,4,4.557,1783580819421299
59,vanilla,io,7,2.283,1783580819423994
60,vanilla,io,7,3.483,1783580819427897
61,vanilla,io,2,4.596,1783580819432918
62,vanilla,io,3,2.466,1783580819435855
63,vanilla,io,6,4.145,1783580819440410
64,vanilla,io,1,4.521,1783580819445388
65,vanilla,io,6,2.851,1783580819448671
66,vanilla,io,5,4.476,1783580819453561
67,vanilla,io,6,3.902,1783580819457892
68,vanilla,io,6,3.550,1783580819462010
69,vanilla,io,0,3.801,1783580819466252
70,vanilla,io,4,3.682,1783580819470435
71,vanilla,io,4,2.199,1783580819473235
72,vanilla,io,5,4.347,1783580819478023
73,vanilla,io,2,4.402,1783580819482840
74,vanilla,io,4,3.843,1783580819487105
75,vanilla,io,6,3.582,1783580819491115
76,vanilla,io,6,4.535,1783580819496076
77,vanilla,io,0,2.644,1783580819499149
78,vanilla,io,4,2.136,1783580819501749
79,vanilla,io,4,4.399,1783580819506618
80,vanilla,io,7,4.154,1783580819511177
81,vanilla,io,5,2.495,1783580819514120
82,vanilla,io,0,2.836,1783580819517411
83,vanilla,io,3,4.534,1783580819522380
84,vanilla,io,2,4.441,1783580819527226
85,vanilla,io,0,4.047,1783580819531706
86,vanilla,io,1,3.077,1783580819535234
87,vanilla,io,6,4.555,1783580819540210
88,vanilla,io,2,2.810,1783580819543477
89,vanilla,io,5,3.812,1783580819547726
90,vanilla,io,0,4.499,1783580819552653
91,vanilla,io,3,4.386,1783580819557551
92,vanilla,io,4,3.589,1783580819561638
93,vanilla,io,7,2.026,1783580819564094
94,vanilla,io,0,3.531,1783580819568037
95,vanilla,io,5,4.054,1783580819572523
96,vanilla,io,7,4.521,1783580819577504
97,vanilla,io,1,4.376,1783580819582391
98,vanilla,io,3,2.362,1783580819585214
99,vanilla,io,3,2.037,1783580819587694
0,vanilla,combined,0,3.047,1783581007127937
1,vanilla,combined,5,8.663,1783581007137200
2,vanilla,combined,0,8.009,1783581007145655
3,vanilla,combined,1,5.805,1783581007151880
4,vanilla,combined,5,3.551,1783581007155844
